accounting  | accounting  | Accounting service started
checkout  | checkout  | go.opentelemetry.io/otel/sdk/trace.(*recordingSpan).End.deferwrap1()
checkout  | checkout  | 	/go/pkg/mod/go.opentelemetry.io/otel/sdk@v1.38.0/trace/span.go:468 +0x25
checkout  | checkout  | go.opentelemetry.io/otel/sdk/trace.(*recordingSpan).End(0xc000301860, {0x0, 0x0, 0xc000603340?})
checkout  | checkout  | 	/go/pkg/mod/go.opentelemetry.io/otel/sdk@v1.38.0/trace/span.go:517 +0xc12
checkout  | checkout  | panic({0xe2cc80?, 0x1827810?})
checkout  | checkout  | 	/usr/local/go/src/runtime/panic.go:792 +0x132
checkout  | checkout  | main.(*checkout).sendToPostProcessor(0xc0000001c0, {0x1114ed8, 0xc0008904e0}, 0x0?)
checkout  | checkout  | 	/usr/src/app/main.go:630 +0x1e0
checkout  | checkout  | main.(*checkout).PlaceOrder(0xc0000001c0, {0x1114ed8, 0xc0008904e0}, 0xc0001fa230)
checkout  | checkout  | 	/usr/src/app/main.go:388 +0x1d99
checkout  | checkout  | github.com/open-telemetry/opentelemetry-demo/src/checkout/genproto/oteldemo._CheckoutService_PlaceOrder_Handler({0xf688e0, 0xc0000001c0}, {0x1114ed8, 0xc0008904e0}, 0xc0001f8600, 0x0)
checkout  | checkout  | 	/usr/src/app/genproto/oteldemo/demo_grpc.pb.go:1229 +0x1a6
checkout  | checkout  | google.golang.org/grpc.(*Server).processUnaryRPC(0xc000210008, {0x1114ed8, 0xc0008903c0}, 0xc0000fe680, 0xc000387410, 0x182b5e0, 0x0)
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1428 +0x11e7
checkout  | checkout  | google.golang.org/grpc.(*Server).handleStream(0xc000210008, {0x11159f8, 0xc0001f4820}, 0xc0000fe680)
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1832 +0xdc6
checkout  | checkout  | google.golang.org/grpc.(*Server).serveStreams.func2.1()
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1063 +0x7f
checkout  | checkout  | created by google.golang.org/grpc.(*Server).serveStreams.func2 in goroutine 532
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1074 +0x11d
checkout  | checkout  | panic: runtime error: invalid memory address or nil pointer dereference [recovered]
checkout  | checkout  | 	panic: runtime error: invalid memory address or nil pointer dereference
checkout  | checkout  | [signal SIGSEGV: segmentation violation code=0x1 addr=0x58 pc=0xcc52c0]
checkout  | checkout  | 
checkout  | checkout  | goroutine 290 [running]:
checkout  | checkout  | go.opentelemetry.io/otel/sdk/trace.(*recordingSpan).End.deferwrap1()
checkout  | checkout  | 	/go/pkg/mod/go.opentelemetry.io/otel/sdk@v1.38.0/trace/span.go:468 +0x25
checkout  | checkout  | go.opentelemetry.io/otel/sdk/trace.(*recordingSpan).End(0xc00042c780, {0x0, 0x0, 0xc000560fb8?})
checkout  | checkout  | 	/go/pkg/mod/go.opentelemetry.io/otel/sdk@v1.38.0/trace/span.go:517 +0xc12
checkout  | checkout  | panic({0xe2cc80?, 0x1827810?})
checkout  | checkout  | 	/usr/local/go/src/runtime/panic.go:792 +0x132
checkout  | checkout  | main.(*checkout).sendToPostProcessor(0xc0000001c0, {0x1114ed8, 0xc000608600}, 0x0?)
checkout  | checkout  | 	/usr/src/app/main.go:630 +0x1e0
checkout  | checkout  | main.(*checkout).PlaceOrder(0xc0000001c0, {0x1114ed8, 0xc000608600}, 0xc00017c000)
checkout  | checkout  | 	/usr/src/app/main.go:388 +0x1d99
checkout  | checkout  | github.com/open-telemetry/opentelemetry-demo/src/checkout/genproto/oteldemo._CheckoutService_PlaceOrder_Handler({0xf688e0, 0xc0000001c0}, {0x1114ed8, 0xc000608600}, 0xc000238380, 0x0)
checkout  | checkout  | 	/usr/src/app/genproto/oteldemo/demo_grpc.pb.go:1229 +0x1a6
checkout  | checkout  | google.golang.org/grpc.(*Server).processUnaryRPC(0xc0000fe908, {0x1114ed8, 0xc0004061b0}, 0xc000300340, 0xc000710b40, 0x182b5e0, 0x0)
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1428 +0x11e7
checkout  | checkout  | google.golang.org/grpc.(*Server).handleStream(0xc0000fe908, {0x11159f8, 0xc0003004e0}, 0xc000300340)
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1832 +0xdc6
checkout  | checkout  | google.golang.org/grpc.(*Server).serveStreams.func2.1()
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1063 +0x7f
checkout  | checkout  | created by google.golang.org/grpc.(*Server).serveStreams.func2 in goroutine 169
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1074 +0x11d
checkout  | checkout  | panic: runtime error: invalid memory address or nil pointer dereference [recovered]
checkout  | checkout  | 	panic: runtime error: invalid memory address or nil pointer dereference
checkout  | checkout  | [signal SIGSEGV: segmentation violation code=0x1 addr=0x58 pc=0xcc52c0]
checkout  | checkout  | 
checkout  | checkout  | goroutine 179 [running]:
checkout  | checkout  | go.opentelemetry.io/otel/sdk/trace.(*recordingSpan).End.deferwrap1()
checkout  | checkout  | 	/go/pkg/mod/go.opentelemetry.io/otel/sdk@v1.38.0/trace/span.go:468 +0x25
checkout  | checkout  | go.opentelemetry.io/otel/sdk/trace.(*recordingSpan).End(0xc0002932c0, {0x0, 0x0, 0xc0007dafb8?})
checkout  | checkout  | 	/go/pkg/mod/go.opentelemetry.io/otel/sdk@v1.38.0/trace/span.go:517 +0xc12
checkout  | checkout  | panic({0xe2cc80?, 0x1827810?})
checkout  | checkout  | 	/usr/local/go/src/runtime/panic.go:792 +0x132
checkout  | checkout  | main.(*checkout).sendToPostProcessor(0xc00039a000, {0x1114ed8, 0xc0003904b0}, 0xc000270690?)
checkout  | checkout  | 	/usr/src/app/main.go:630 +0x1e0
checkout  | checkout  | main.(*checkout).PlaceOrder(0xc00039a000, {0x1114ed8, 0xc0003904b0}, 0xc0002a7500)
checkout  | checkout  | 	/usr/src/app/main.go:388 +0x1d99
checkout  | checkout  | github.com/open-telemetry/opentelemetry-demo/src/checkout/genproto/oteldemo._CheckoutService_PlaceOrder_Handler({0xf688e0, 0xc00039a000}, {0x1114ed8, 0xc0003904b0}, 0xc0002a4300, 0x0)
checkout  | checkout  | 	/usr/src/app/genproto/oteldemo/demo_grpc.pb.go:1229 +0x1a6
checkout  | checkout  | google.golang.org/grpc.(*Server).processUnaryRPC(0xc000158908, {0x1114ed8, 0xc0005143f0}, 0xc0004644e0, 0xc0003913b0, 0x182b5e0, 0x0)
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1428 +0x11e7
checkout  | checkout  | google.golang.org/grpc.(*Server).handleStream(0xc000158908, {0x11159f8, 0xc00014ed00}, 0xc0004644e0)
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1832 +0xdc6
checkout  | checkout  | google.golang.org/grpc.(*Server).serveStreams.func2.1()
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1063 +0x7f
checkout  | checkout  | created by google.golang.org/grpc.(*Server).serveStreams.func2 in goroutine 48
checkout  | checkout  | 	/go/pkg/mod/google.golang.org/grpc@v1.77.0/server.go:1074 +0x11d
currency  | currency  | [Error] File: /opentelemetry-cpp/exporters/otlp/src/otlp_grpc_log_record_exporter.cc:184 [OTLP LOG GRPC Exporter] Export() failed: failed to connect to all addresses; last error: UNKNOWN: ipv4:172.22.0.18:4317: Failed to connect to remote host: Connection refused
email  | email  | I, [2026-02-07T05:01:59.335309 #1]  INFO -- : Instrumentation: OpenTelemetry::Instrumentation::Sinatra was successfully installed with the following options {install_rack: true}
email  | email  | Puma starting in single mode...
email  | email  | * Puma version: 7.1.0 ("Neon Witch")
email  | email  | * Ruby version: ruby 3.4.7 (2025-10-08 revision 7a5688e2a2) +PRISM [x86_64-linux-musl]
email  | email  | *  Min threads: 0
email  | email  | *  Max threads: 5
email  | email  | *  Environment: production
email  | email  | *          PID: 1
email  | email  | * Listening on http://0.0.0.0:6060
email  | email  | == Sinatra (v4.2.1) has taken the stage on 6060 for production with backup from Puma
email  | email  | Use Ctrl-C to stop
flagd  | flagd  | 2026-02-07T05:02:03.064Z	error	file/filepath_sync.go:142	error from os.Open(./etc/flagd/demo.flagd.json): open ./etc/flagd/demo.flagd.json: permission denied	{"component": "sync", "sync": "fileinfo"}
flagd  | flagd  | github.com/open-feature/flagd/core/pkg/sync/file.(*Sync).Sync
flagd  | flagd  | 	/src/core/pkg/sync/file/filepath_sync.go:142
flagd  | flagd  | github.com/open-feature/flagd/flagd/pkg/runtime.(*Runtime).Start.func2
flagd  | flagd  | 	/src/flagd/pkg/runtime/runtime.go:83
flagd  | flagd  | golang.org/x/sync/errgroup.(*Group).add.func1
flagd  | flagd  | 	/go/pkg/mod/golang.org/x/sync@v0.15.0/errgroup/errgroup.go:128
flagd-ui  | flagd-ui  | 05:02:03.614 [info] Read new state from file
flagd-ui  | flagd-ui  | 05:02:03.619 [info] Running FlagdUiWeb.Endpoint with Bandit 1.8.0 at :::4000 (http)
flagd-ui  | flagd-ui  | 05:02:03.620 [info] Access FlagdUiWeb.Endpoint at https://localhost
fraud-detection  | fraud-detection  | SLF4J(W): No SLF4J providers were found.
fraud-detection  | fraud-detection  | SLF4J(W): Defaulting to no-operation (NOP) logger implementation
fraud-detection  | fraud-detection  | SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.
frontend  | frontend  |    ▲ Next.js 16.0.3
frontend  | frontend  |    - Local:         http://3ebbccd05a53:8080
frontend  | frontend  |    - Network:       http://3ebbccd05a53:8080
frontend  | frontend  | 
frontend  | frontend  |  ✓ Starting...
frontend  | frontend  |  ✓ Ready in 145ms
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:436] initializing epoch 0 (base id=0, hot restart version=11.104)
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:438] statically linked extensions:
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.quic.server_preferred_address: quic.server_preferred_address.datasource, quic.server_preferred_address.fixed
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   network.connection.client: default, envoy_internal
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.quic.connection_id_generator: envoy.quic.connection_id_generator.quic_lb, envoy.quic.deterministic_connection_id_generator
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.stats_sinks: envoy.dog_statsd, envoy.graphite_statsd, envoy.metrics_service, envoy.open_telemetry_stat_sink, envoy.stat_sinks.dog_statsd, envoy.stat_sinks.graphite_statsd, envoy.stat_sinks.hystrix, envoy.stat_sinks.metrics_service, envoy.stat_sinks.open_telemetry, envoy.stat_sinks.statsd, envoy.stat_sinks.wasm, envoy.statsd
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.udp_packet_writer: envoy.udp_packet_writer.default, envoy.udp_packet_writer.gso
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.router.cluster_specifier_plugin: envoy.router.cluster_specifier_plugin.lua
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.rds_factory: envoy.rds_factory.default
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.filters.udp.session: envoy.filters.udp.session.dynamic_forward_proxy, envoy.filters.udp.session.http_capsule
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.payload_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.http.cache: envoy.extensions.http.cache.file_system_http_cache, envoy.extensions.http.cache.simple
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.dubbo_proxy.protocols: dubbo
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.rbac.principals: envoy.rbac.principals.mtls_authenticated
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.config_subscription: envoy.config_subscription.ads, envoy.config_subscription.ads_collection, envoy.config_subscription.aggregated_grpc_collection, envoy.config_subscription.delta_grpc, envoy.config_subscription.delta_grpc_collection, envoy.config_subscription.filesystem, envoy.config_subscription.filesystem_collection, envoy.config_subscription.grpc, envoy.config_subscription.rest
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.upstream_options: envoy.extensions.upstreams.http.v3.HttpProtocolOptions, envoy.extensions.upstreams.tcp.v3.TcpProtocolOptions, envoy.upstreams.http.http_protocol_options, envoy.upstreams.tcp.tcp_protocol_options
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.matching.network.input: envoy.matching.inputs.application_protocol, envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.filter_state, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.subject, envoy.matching.inputs.transport_protocol, envoy.matching.inputs.uri_san
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.tracers: envoy.tracers.datadog, envoy.tracers.fluentd, envoy.tracers.opentelemetry, envoy.tracers.skywalking, envoy.tracers.xray, envoy.tracers.zipkin, envoy.zipkin
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.matching.generic_proxy_request_input.input: envoy.matching.generic_proxy.input.host, envoy.matching.generic_proxy.input.method, envoy.matching.generic_proxy.input.path, envoy.matching.generic_proxy.input.property, envoy.matching.generic_proxy.input.request, envoy.matching.generic_proxy.input.service
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.http.stateful_session: envoy.http.stateful_session.cookie, envoy.http.stateful_session.header
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   quic.http_server_connection: quic.http_server_connection.default
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.http.ext_proc.response_processors: envoy.extensions.http.ext_proc.save_processing_response
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.thrift_proxy.transports: auto, framed, header, unframed
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.health_check.event_sinks: envoy.health_check.event_sink.file
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.matching.action: envoy.matching.actions.format_string, filter-chain-name
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.clusters: envoy.cluster.dns, envoy.cluster.eds, envoy.cluster.logical_dns, envoy.cluster.original_dst, envoy.cluster.static, envoy.cluster.strict_dns, envoy.clusters.aggregate, envoy.clusters.dynamic_forward_proxy, envoy.clusters.redis
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.thrift_proxy.protocols: auto, binary, binary/non-strict, compact, twitter
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.wasm.runtime: envoy.wasm.runtime.null, envoy.wasm.runtime.v8
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.upstream.local_address_selector: envoy.upstream.local_address_selector.default_local_address_selector
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.config.validators: envoy.config.validators.minimum_clusters, envoy.config.validators.minimum_clusters_validator
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.load_balancing_policies: envoy.load_balancing_policies.client_side_weighted_round_robin, envoy.load_balancing_policies.cluster_provided, envoy.load_balancing_policies.least_request, envoy.load_balancing_policies.maglev, envoy.load_balancing_policies.random, envoy.load_balancing_policies.ring_hash, envoy.load_balancing_policies.round_robin, envoy.load_balancing_policies.subset
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.matching.http.input: envoy.matching.inputs.cel_data_input, envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.dynamic_metadata, envoy.matching.inputs.filter_state, envoy.matching.inputs.request_headers, envoy.matching.inputs.request_trailers, envoy.matching.inputs.response_headers, envoy.matching.inputs.response_trailers, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.status_code_class_input, envoy.matching.inputs.status_code_input, envoy.matching.inputs.subject, envoy.matching.inputs.uri_san, query_params
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.http.stateful_header_formatters: envoy.http.stateful_header_formatters.preserve_case, preserve_case
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.matching.http.custom_matchers: envoy.matching.custom_matchers.trie_matcher
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.health_checkers: envoy.health_checkers.grpc, envoy.health_checkers.http, envoy.health_checkers.redis, envoy.health_checkers.tcp, envoy.health_checkers.thrift
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.matching.input_matchers: envoy.matching.input_matchers.generic_request_matcher, envoy.matching.matchers.cel_matcher, envoy.matching.matchers.consistent_hashing, envoy.matching.matchers.ip, envoy.matching.matchers.metadata_matcher, envoy.matching.matchers.runtime_fraction
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.dubbo_proxy.filters: envoy.filters.dubbo.router
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.tracers.opentelemetry.resource_detectors: envoy.tracers.opentelemetry.resource_detectors.dynatrace, envoy.tracers.opentelemetry.resource_detectors.environment, envoy.tracers.opentelemetry.resource_detectors.static_config
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.filters.listener: envoy.filters.listener.http_inspector, envoy.filters.listener.local_ratelimit, envoy.filters.listener.original_dst, envoy.filters.listener.original_src, envoy.filters.listener.proxy_protocol, envoy.filters.listener.tls_inspector, envoy.listener.http_inspector, envoy.listener.original_dst, envoy.listener.original_src, envoy.listener.proxy_protocol, envoy.listener.tls_inspector
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.tracers.opentelemetry.samplers: envoy.tracers.opentelemetry.samplers.always_on, envoy.tracers.opentelemetry.samplers.cel, envoy.tracers.opentelemetry.samplers.dynatrace
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.transport_sockets.downstream: envoy.transport_sockets.alts, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tcp_stats, envoy.transport_sockets.tls, raw_buffer, starttls, tls
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.retry_host_predicates: envoy.retry_host_predicates.omit_canary_hosts, envoy.retry_host_predicates.omit_host_metadata, envoy.retry_host_predicates.previous_hosts
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.resource_monitors: envoy.resource_monitors.cpu_utilization, envoy.resource_monitors.fixed_heap, envoy.resource_monitors.injected_resource
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.http.early_header_mutation: envoy.http.early_header_mutation.header_mutation
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.dubbo_proxy.serializers: dubbo.hessian2
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.tls.cert_validator: envoy.tls.cert_validator.default, envoy.tls.cert_validator.spiffe
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.http.original_ip_detection: envoy.http.original_ip_detection.custom_header, envoy.http.original_ip_detection.xff
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.compression.decompressor: envoy.compression.brotli.decompressor, envoy.compression.gzip.decompressor, envoy.compression.zstd.decompressor
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.geoip_providers: envoy.geoip_providers.maxmind
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.upstreams: envoy.filters.connection_pools.tcp.generic
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.formatter: envoy.formatter.cel, envoy.formatter.metadata, envoy.formatter.req_without_query
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.generic_proxy.codecs: envoy.generic_proxy.codecs.dubbo, envoy.generic_proxy.codecs.http1
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.request_id: envoy.request_id.uuid
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.connection_handler: envoy.connection_handler.default
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.filters.http.upstream: envoy.buffer, envoy.ext_proc, envoy.extensions.filters.http.dynamic_modules, envoy.filters.http.admission_control, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.buffer, envoy.filters.http.composite, envoy.filters.http.credential_injector, envoy.filters.http.ext_proc, envoy.filters.http.header_mutation, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.upstream_codec, envoy.filters.http.wasm
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.resolvers: envoy.ip
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.quic.server.crypto_stream: envoy.quic.crypto_stream.server.quiche
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.quic.proof_source: envoy.quic.proof_source.filter_chain
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.retry_priorities: envoy.retry_priorities.previous_priorities
frontend-proxy  | frontend-proxy  | [2026-02-07 05:01:59.229][8][info][main] [source/server/server.cc:440]   envoy.route.early_data_policy: envoy.route.early_data_policy.default
